Indicator,Type
missll.com,domain
http://www.missll.com/file.exe,URL
www.missll.com,hostname
bcvziy.com,domain
ibackdoor.net,domain
matrix.bcvziy.com,hostname
emm@ph4nt0m.org,email
14d4ce4666ee1a0dc0ed341c9007934d3aba401f,FileHash-SHA1
0777ae914c11045d00159744ccdc8109,FileHash-MD5
007cf8d976ee0862487c78ec071ce2e7,FileHash-MD5
fb13c3cf930f5714f9081a49844209e7,FileHash-MD5
d901a5737d7a0c37aa42798cb523150f,FileHash-MD5
4ad40fc46bd1dd7cf97cf0568c86956f,FileHash-MD5
d1a326be4a422e92308bbcf8ea154f6d,FileHash-MD5
www.thyssenkrupp-marinesystems.org,hostname
access.wscsvc.net,hostname
back.teledynegroup.com,hostname
1si2.yqdac.com,hostname
shop.thyssenkrupp-marinesystems.org,hostname
www.teledynegroup.com,hostname
godie.usdagroup.com,hostname
rsc-to.teledynegroup.com,hostname
whoi.usdagroup.com,hostname
ftp.teledynegroup.com,hostname
usda.teledynegroup.com,hostname
www.wscsvc.net,hostname
www.d0m1c7devn.com,hostname
ns1.wscsvc.net,hostname
exchange.wscsvc.net,hostname
www.usdagroup.com,hostname
backup.wscsvc.net,hostname
www.secbkav.com,hostname
http://exchange.wscsvc.net/0777ae914c11045d00159744ccdc8109,URL
http://access.wscsvc.net/,URL
http://exchange.wscsvc.net/d1a326be4a422e92308bbcf8ea154f6d,URL
http://www.wscsvc.net:8080/logon.aspx?Id=s07PD1cd2UmfOBm7p8YaFg==,URL
http://backup.wscsvc.net/4ad40fc46bd1dd7cf97cf0568c86956f,URL
http://backup.wscsvc.net/fb13c3cf930f5714f9081a49844209e7,URL
http://accounts-googlc.com/,URL
http://exchange.wscsvc.net/,URL
http://exchange.wscsvc.net/fb13c3cf930f5714f9081a49844209e7,URL
http://backup.wscsvc.net/d1a326be4a422e92308bbcf8ea154f6d,URL
http://backup.wscsvc.net/,URL
http://backup.wscsvc.net/007cf8d976ee0862487c78ec071ce2e7,URL
http://www.wscsvc.net/,URL
208756593166db40a35bdb37c5d27915a41055e621c8dc5e6972f4a2c3eadd3a,FileHash-SHA256
70e6533deeb7dde53529b9ab4f1d9f3e823fd0a61798ed27a1c9f4bbebb816f3,FileHash-SHA256
2306576eddd49513034530f4bd525d4a6e5d75912f904b911e820e35270f8249,FileHash-SHA256
ff603281086b15559e17d368a93a9effe284442495b2874e82c0655bf8f7f1e9,FileHash-SHA256
5860ddc428ffa900258207e9c385f843a3472f2fbf252d2f6357d458646cf362,FileHash-SHA256
9d93f31b77f1cc350d0f5660d1ce81ea39aceb0fd2ff07a912375076ca0eada3,FileHash-SHA256
d24f072918a612a5c84d05b37d91a5a109a40e1d53aa2403c543d28fcb8eed93,FileHash-SHA256
fc0fad39b461eb1cfc6be57932993fcea94fca650564271d1b74dd850c81602f,FileHash-SHA256
7c54e1a5dbabf54d0cd43028218d38e5f83158f3f5235599723907b40389ac5d,FileHash-SHA256
ebc248332897cadabf4687442acee70b20430b91a4f00b0b9fb855bddade6f28,FileHash-SHA256
